chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0.3826198,0.088136494,0.08024012,0.00071835646,1683.1301025713428,152697.58064644792,2473.5916039208964,96184.64023436347,4055.7671419976296,2058430.2288188867,0.0478288869001548,0.0003713969500851504,2.9529929e-06,0.0,-1.4729505e-05,0.0,172.265625,-188.98314,871.5488,117.09356,215.76617,33.012222,167.33247,18.491106,80.95419,6.430408,38.701347,11.723388,37.62381,-5.715863,31.46768,1.2746753,38.920193,-3.581078,34.46604,2.9789422,35.33515,-1.791347,38.172123,3.2257476,41.57104,2.728345,41.55137,1.7333076,45.170483,-1.9919508,57.802498,3.6094182,31.558977,-0.8760027,25.52552,4.0266924,49.63518,-1.9085331,47.75584,4.3444486,40.53273,jazz
0.3985073,0.09204018,0.07522235,0.00070050167,1589.7768010811722,240062.57996391683,2411.359255189335,159637.9320469777,3725.7108044698143,2944065.7518333723,0.03953188491679566,0.0006131679400968625,-3.0648882e-06,0.0,-3.1117786e-05,0.0,172.265625,-223.51505,1825.2325,116.15617,376.6555,33.684116,416.8929,19.676355,91.63917,9.487067,59.997013,17.231487,52.086838,-1.2615942,58.534794,7.1654086,50.2418,0.3891473,26.670088,5.272067,34.323742,-0.43198925,35.14394,4.9782763,37.3571,4.277891,29.07489,4.219637,30.321413,0.9336323,38.477863,4.9349318,33.717903,-1.7590183,27.339636,-0.1358517,23.70962,-6.4265895,35.28809,3.7035596,36.697548,jazz
0.40653878,0.08520511,0.078114495,0.00087089563,1509.9328641023942,155634.95049282687,2320.2200279419308,126267.44372626342,3455.2291067023025,2127565.575004066,0.040192878652283284,0.00032332341897961715,-2.77336e-06,0.0,-3.1139156e-05,0.0,89.10290948275862,-209.11389,1688.5282,121.12014,301.3035,28.273247,224.54126,24.258955,76.91609,13.255443,43.4828,13.937058,49.410194,-5.093146,47.06828,4.1663356,49.55599,-2.4464846,39.568478,2.3680625,27.108807,-2.2256804,33.158516,0.675875,23.435106,-1.4289081,31.256882,0.603477,45.929863,0.018454349,40.7188,5.7998962,32.794724,-0.14251204,34.5081,3.028199,38.678165,-3.0569677,27.328566,2.7022555,29.921736,jazz
0.3757246,0.087733,0.07608868,0.0007370821,1479.9315832155173,186653.77599675956,2347.360546435278,147137.32278638604,3381.529552353425,2728531.085958528,0.03714792351973684,0.00026565180241294343,6.1182136e-06,0.0,-3.3127242e-05,0.0,172.265625,-226.49008,1679.3912,120.278564,319.80515,38.08035,232.98376,24.612844,87.68143,12.667253,47.92815,14.291233,51.29235,-6.885133,41.657616,0.3583134,38.948837,-4.685202,42.657234,2.164706,40.708035,-0.087416105,39.161842,4.8301277,29.724403,-0.052848604,32.723713,1.2926424,53.460056,0.01725703,61.1886,6.609547,42.615253,3.7825422,40.936314,4.144888,47.939114,-2.5246108,41.14091,5.7466855,39.026512,jazz
0.32274717,0.08872658,0.08609935,0.0008087835,1620.19363951808,160031.82633269878,2310.902462975341,114894.67874395197,3618.5031194066855,1875331.2426190656,0.05380541916602167,0.00044116177156373757,5.6673075e-06,0.0,4.134412e-05,0.0,172.265625,-187.70366,1286.6616,116.36351,277.60556,21.824703,225.62036,22.67872,70.79456,8.715293,46.443943,14.910585,33.970753,-5.1470256,40.762486,3.365243,41.803806,-0.22020786,52.180832,-0.48863074,45.820168,-3.299558,29.134142,1.6028278,40.238373,-5.3174863,55.791862,-0.3499274,42.423897,-2.402358,46.82952,3.6408205,44.745037,-2.6884544,62.99578,1.5548636,54.928417,-0.8294494,90.232376,6.729991,66.48669,jazz
0.28041485,0.086125344,0.10229771,0.0007918643,1730.2194147789346,156683.07357967208,2389.7048338709287,117149.77060748932,3964.1093629063466,1887758.15434483,0.06315797032217492,0.0004945017165950029,-1.871876e-06,0.0,1.6310634e-05,0.0,172.265625,-168.64812,1122.9098,113.051216,282.9359,24.580091,231.27264,20.893436,62.09,8.037774,42.96506,12.10746,59.29985,-2.302325,88.7375,7.393925,95.4702,1.0157299,74.58435,0.34035617,100.46052,-6.477693,110.888824,1.3413972,100.31272,-0.23599191,103.501526,4.4448967,96.64455,0.34462747,86.428474,6.081037,66.02957,1.9917593,59.469875,3.4758584,76.27299,-4.9342747,115.062996,5.806102,96.44357,jazz
0.27886805,0.08741428,0.10825609,0.0007307716,1689.095484711714,167099.8525295613,2339.3506597247656,114808.83488541964,3809.2436326915636,1847858.434104811,0.05971014536571207,0.0004729010446609871,-1.7879115e-06,0.0,-1.1323999e-07,0.0,89.10290948275862,-162.8616,960.41797,114.564384,323.2729,23.830399,203.96667,20.5876,60.288197,4.9921746,66.175804,13.947435,83.48939,-3.755933,67.00869,6.1645637,73.21104,1.1395202,58.42448,2.3946605,84.612595,-1.521015,89.76907,2.8658588,87.44759,-1.6960111,111.42309,3.8076334,87.75729,-0.30207807,95.04868,4.563577,77.711395,0.27869603,68.26898,3.8353264,79.86407,-5.4453497,91.181564,3.964094,88.87744,jazz
0.30474356,0.08667384,0.09501584,0.0007646248,1733.284858295161,184507.66310417317,2386.044345758411,124954.06444324805,4021.342350159636,1996342.405041532,0.058752857125580496,0.000536793491892672,-3.1367847e-06,0.0,0.00010543702,0.0,89.10290948275862,-177.61363,906.2473,110.69853,335.43802,26.410357,237.5818,25.784294,64.336044,8.064167,51.20907,13.301153,74.7017,-7.2315936,51.84495,3.3177085,70.00388,-0.20763938,77.76617,2.6526976,92.75293,-1.4458148,85.08143,3.3553846,96.97288,-0.5950887,130.43204,6.3420396,119.33662,2.4300687,85.19285,5.516863,79.15398,1.0235647,76.37207,5.703174,73.61379,-0.9135222,112.381165,4.5887904,93.43294,jazz
0.30848095,0.089383766,0.100367285,0.0006059258,1747.5411699645663,162709.73646559397,2395.2758323656208,109687.44950685588,4042.192224083301,1771614.916453617,0.057649311266447366,0.0004947896726904153,3.739272e-06,0.0,3.1399925e-06,0.0,92.28515625,-162.89844,689.1905,112.28133,302.4486,23.555122,219.31775,22.78473,70.446976,6.368768,50.55707,11.662428,62.947884,-4.991063,58.216537,4.9119954,69.94702,-0.007783022,67.71883,1.3370696,84.34098,-2.1734693,107.838165,1.5941136,105.597984,0.46185237,115.96101,6.3441644,95.08506,0.8610807,74.63766,4.97685,58.44082,2.05968,51.21037,4.9263997,66.55202,-4.6184235,125.147446,5.160173,79.91997,jazz
0.31899482,0.08490966,0.08786681,0.0008955562,1583.381503021443,175579.72710583376,2280.01511280117,133374.45631006843,3572.8367288784348,2016861.87431449,0.05267163917376161,0.0005503281483758392,1.5523417e-06,0.0,-1.9821482e-05,0.0,89.10290948275862,-191.52075,1178.9733,117.155594,358.27133,24.567608,322.96536,25.628756,80.91128,7.950548,37.155163,15.730804,39.88055,-5.1480675,39.00008,1.8129221,30.298822,0.6639754,41.50374,1.0510565,40.71644,-1.1414852,31.6901,1.9959081,40.516666,-4.6862493,47.282124,2.1707444,48.64752,-1.2615656,55.524635,3.6666582,54.73886,-0.3675333,63.79644,4.150715,68.380196,-1.027267,97.33216,7.4769874,73.2583,jazz
